subject_id,baseline,endline,TOL_move_count1_bl,TOL_RT1_bl,TOL_move_count2_bl,TOL_RT2_bl,TOL_move_count3_bl,TOL_RT3_bl,TOL_move_count4_bl,TOL_RT4_bl,TOL_minimum_moves1_bl,TOL_minimum_moves2_bl,TOL_minimum_moves3_bl,TOL_minimum_moves4_bl,TOL_total_bl,land_ownership_bl,water_treatment_bl,water_treatment_frequency_bl,chlorinelastmonth_bl,treatment_actual,children_rec,education_rec,village_id,treatment,treatment0,treatment1,treatment2,treatment3,employed,married,age,BADS_RT1_end,BADS_RT2_end,BADS_RT3_end,BADS_RT4_end,BADS_RT5_end,BADS_RT6_end,BADS_RT7_end,BADS_RT8_end,BADS_RT9_end,BADS_response1_end,BADS_response2_end,BADS_response3_end,BADS_response4_end,BADS_response5_end,BADS_response6_end,BADS_response7_end,BADS_response8_end,BADS_response9_end,water_treatment_end,water_treatment_frequency_end,chlorinelastmonth_end,TOL_move_count1_end,TOL_RT1_end,TOL_move_count2_end,TOL_RT2_end,TOL_move_count3_end,TOL_RT3_end,TOL_move_count4_end,TOL_RT4_end,TOL_pass1_end,TOL_pass2_end,TOL_pass3_end,TOL_pass4_end,TOL_pass_total_end,TOL_total_end,BADS_AC_SS_end,BADS_AV_SS_end,BADS_scale_end,water_treatment_binary_end,work_hrs_daily_end,work_days_perwk_end,earnings_1wk_total_end,chlorine_treatment_end,tcr_end
153699,1,1,4,851.672,10,76.219002,2,30.25,5,237.532,1,2,2,4,21,Yes,Chlorine,Always,No,3,7,Primary,32,3,0,0,0,1,1,1,32,243.593,22.719,37.280998,17.672001,21.5,24.797001,25.485001,17.25,16.421,4,5,5,5,5,7,7,5,5,Chlorine,Always,Yes,1,20.719,9,66.328003,2,27.344,4,44.030998,1,1,1,1,4,16,20,5,25,1,2,6,0,Yes,1
153700,0,0,,,,,,,,,,,,,,,,,,,0,Primary,32,0,1,0,0,0,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153701,0,0,,,,,,,,,,,,,,,,,,,0,None,32,1,0,1,0,0,1,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153702,1,1,3,39.342999,10,273.578,5,81.359001,10,162.40601,1,2,2,4,28,Yes,Boil,Occasionally,No,3,5,Primary,32,3,0,0,0,1,1,1,30,214.64101,46.484001,25.922001,22.233999,25.016001,21.516001,23.389999,29.563,17.062,4,2,6,4,6,6,4,4,6,Chlorine,Always,Yes,2,18.639999,10,75.656998,2,26.969,9,82.579002,1,0,1,1,3,23,19,10,29,1,8,12,19000,Yes,0
153703,0,1,,,,,,,,,,,,,,,,,,,0,Secondary,12,1,0,1,0,0,1,0,26,169.485,131.547,49.422001,73.984001,10.562,14.141,14.234,17.766001,7.9689999,3,1,5,7,3,7,7,5,3,Stand and settle,Always,No,3,16.858999,4,74.405998,2,16.125,5,21.516001,1,1,1,1,4,14,14,6,20,1,12,6,1400,Yes,1
153704,1,1,1,39.702999,10,104.563,2,87.264999,7,254,1,2,2,4,20,Yes,Water filter,Most of the time,Yes,1,2,Primary,12,1,0,1,0,0,1,1,25,252.422,34.452999,35.765999,17.937,29.782,26.656,21.562,22.079,28.264999,5,7,5,7,7,5,7,3,5,Chlorine,Always,Yes,1,18.344,2,47.172001,2,22.093,8,190.875,1,1,1,1,4,13,26,8,34,1,3,3,600,,0
153705,1,1,5,73.890999,7,84.078003,3,30.031,7,61.514999,1,2,2,4,22,Yes,Chlorine,Most of the time,Yes,3,4,Primary,12,3,0,0,0,1,1,1,31,150.422,48.922001,30.702999,26.687,30.297001,42.827999,22.610001,34.797001,62.217999,7,3,5,7,5,7,7,5,7,Chlorine,Most of the time,No,1,17.827999,10,92.265999,2,15.938,5,62.780998,1,0,1,1,3,18,22,2,24,1,0,0,0,Yes,0
153706,0,1,,,,,,,,,,,,,,,,,,,2,Secondary,12,3,0,0,0,1,1,1,25,36.094002,30.797001,32.922001,11.796,11.829,21.108999,20.047001,17.812,7.5159998,3,5,3,5,7,2,5,4,7,Chlorine,Occasionally,Yes,1,4.9369998,2,15.359,2,10.828,7,63.014999,1,1,1,1,4,12,22,14,36,1,0,0,0,No,0
153707,0,0,,,,,,,,,,,,,,,,,,,0,Primary,12,1,0,1,0,0,1,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153708,1,1,1,42.905998,10,208.297,2,27.485001,4,103.437,1,2,2,4,17,Yes,Chlorine,Most of the time,Yes,2,2,Primary,12,2,0,0,1,0,1,1,27,410.21899,49.312,32.702999,25.625,30.782,41.577999,28.562,30.110001,53.484001,3,3,3,3,3,1,7,5,5,Chlorine,Always,Yes,1,11.203,10,52.202999,2,272.65601,5,137.95399,1,0,1,1,3,18,12,12,24,1,0,0,0,No,0
